session_id,title,description,speakers,speaker_company,speaker_title,track,format,day,time,duration_min,room,level,tags,persona_fit,catalog_url
DM301,From Data Sharing to Data Products: A Governed Marketplace in the AI Data Cloud,"As enterprises shift from ad hoc data sharing to reusable data products, data governance becomes vital. This session explores how Infosys enables a governed, data product marketplace on the Snowflake AI Data Cloud, embedding AI and responsible AI principles across data, models and consumption. Learn how standardized policies, automated guardrails and lifecycle governance ensure trust and compliance. Discover how organizations scale data sharing securely and unlock greater value through AI-driven use cases.",Murtuza Shahpurwala,Infosys Ltd,"Senior Digital Strategist, Data & AI",Data Marketplace,Theater Session,Monday June 1,01:00 PM - 01:20 PM,20,"Vertical Village Theater 2 (Basecamp, South Hall B)",Advanced,"AI,Governance,Marketplace,Data Sharing",Data Scientist;Executive;Security,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=DM301&tab.sessioncatalogtab=1714168666431001NNiH
BI110,Future-Ready by Design: Boston Scientific’s Self-Service D&A Op Model,"In medical devices, product parity is the norm. Competitive advantage comes from how fast you turn data into decisions. In this session, learn how phData and Boston Scientific partnered to transform the company's cardiology division by building a self-service data and analytics operating model with Snowflake at the center, turning a fragile IT relationship into a true business-IT fusion team that shifted data product ownership directly to the business. The result: Thousands of users now have trusted, timely insights built on a durable, scalable op model ready for AI.",Jon Sandquist; Julianna Bond,Boston Scientific,Data Product Manager,BI & Analytics,Theater Session,Monday June 1,01:00 PM - 01:20 PM,20,"Basecamp South Theater 1 (Basecamp, South Hall A)",Beginner,"AI,RAG,Analytics",Data Scientist;Developer;Analyst;Executive;Security,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=BI110&tab.sessioncatalogtab=1714168666431001NNiH
GO233,How DraftKings Ensures Regulatory Compliance at Scale Using Snowflake,"DraftKings operates in one of the most heavily regulated digital industries, where data accuracy, lineage and timeliness are nonnegotiable. In this session, we’ll share how DraftKings designed its data architecture to meet the demands of operating across multiple highly regulated jurisdictions, with Snowflake as the core platform that enables scale and consistency. We’ll walk through how data is ingested, standardized and transformed, how compute is orchestrated, and how Snowflake’s native security, governance via Horizon Catalog, and observability features enable consistent, repeatable compliance across all our jurisdictions.",Ronak Mistry; Emily Gonzales,DraftKings,Principal Data Engineer,Governance & Security,Breakout Session,Monday June 1,01:00 PM - 01:45 PM,45,"Room 205 (Moscone South, Level 2)",Intermediate,"Governance,Security,Lineage",Data Scientist;Architect;Executive;Security,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=GO233&tab.sessioncatalogtab=1714168666431001NNiH
BI213,How SPS Commerce Scaled a Multimillion-Dollar Analytics Business with Sigma,"SPS Commerce is reinventing its embedded analytics platform, SPS Analytics, by replacing legacy BI with Sigma on Snowflake. The platform helps retailers and partners unify sell-through, inventory and supplier data to improve forecasting, optimize inventory and drive stronger outcomes across the retail ecosystem. In this session, Troy Prothero, Senior Director of Product Management at SPS Commerce, shares why SPS replatformed its analytics platform and how Sigma enables collaborative workflows with writeback capabilities that allow users to refine operational data in Snowflake. Learn how this foundation is preparing SPS Commerce for the next generation of AI-powered applications.",Troy Prothero,SPS Commerce,"Senior Director, Product Management",BI & Analytics,Theater Session,Monday June 1,01:00 PM - 01:20 PM,20,"Basecamp South Theater 4 (Basecamp, South Hall C)",Intermediate,"AI,Analytics,Retail",Data Scientist;Architect;Developer;Analyst;Executive,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=BI213&tab.sessioncatalogtab=1714168666431001NNiH
PO215,How to Evaluate Snowflake Gen2 Safely in Production and the Outcomes at Scale,"Upgrading core infrastructure requires rigor. This session outlines a controlled framework for evaluating Snowflake Gen2 in live production environments — covering A/B validation, workload benchmarking and risk mitigation. Hear measurable outcomes and lessons learned from enterprise-scale deployment.",Muthupalaniappan Ramanathan Ramanathan,Doordash,Senior Software Developer,Platform & Optimization,Theater Session,Monday June 1,01:00 PM - 01:20 PM,20,"Basecamp South Theater 3 (Basecamp, South Hall C)",Intermediate,Gen2,Architect;Security,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=PO215&tab.sessioncatalogtab=1714168666431001NNiH
PO209,Designing a Low-Latency Warehouse for 1.5M Daily Queries,"Serving 1.5 million daily queries demands architectural precision. This session breaks down workload isolation, clustering strategy, caching optimization and data modeling patterns used to achieve consistently low latency at scale. Learn the trade-offs and engineering decisions that enabled sub-second performance under heavy concurrency.",Himanshu Shah Shah; Avinash Enugu,GlobalPayments,VP of Data Engineering & AI,Platform & Optimization,Theater Session,Monday June 1,01:30 PM - 01:50 PM,20,"Builders Hub Theater (Basecamp, South Hall D)",Intermediate,"AI,Warehouse,Performance,Optimization",Data Scientist;Architect;Executive,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=PO209&tab.sessioncatalogtab=1714168666431001NNiH
IN118,DRIVING INNOVATION VIA DIGITAL SUPPLY NETWORKS IN A CLINICAL SUPPLY CHAIN,"Clinical trial supply chains are reaching their limits under growing complexity, fragmented data and reactive operating models. This session introduces the Digital Supply Network (DSN). DSN represents a shift from linear supply chains to a real-time, interconnected system that senses, predicts and responds to change. Powered by AI agents across demand, supply, logistics and compliance, the DSN enables proactive decision-making, continuous optimization and exception-based human oversight. The result is a more resilient, efficient and patient-focused supply model, ensuring the right medication reaches the right patient at the right time.",Barry Moore,GSK,"Director, Clinical Supply Chain",Industry Solutions,Breakout Session,Monday June 1,1:30 PM - 2:15 PM,45,,Beginner,"AI,Agents,RAG,Optimization,Real-time",Data Scientist;Security,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=IN118&tab.sessioncatalogtab=1714168666431001NNiH
GO202,Enforcing Data Governance at the Orchestration Layer,"Financial institutions don't struggle with governance frameworks. They struggle with enforceability. When regulators ask how an AI decision was produced, most teams cannot prove which data ran, which controls were applied or who approved exceptions. Governance on paper is not governance at runtime.

This session shows how leading institutions use orchestration to codify policy, enforce controls, capture audit trails and gate high-risk decisions before they reach agents. We'll ground this in real-world patterns from financial institutions using Airflow and Astro to bring governance and control to their most complex data pipelines.",Carter Page,Astronomer,"Executive Vice President, R&D",Governance & Security,Theater Session,Monday June 1,01:30 PM - 01:50 PM,20,"Vertical Village Theater 2 (Basecamp, South Hall B)",Intermediate,"AI,Agents,Governance,Pipeline",Data Engineer;Developer;Security,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=GO202&tab.sessioncatalogtab=1714168666431001NNiH
ML225,"From Data to Outcomes: How Ecolab Uses Snowflake ML to Deliver Customer Value
","Imagine every customer location performing at its best — every shift, every day. In this session, hear how Ecolab turned raw operational data into ML models that show exactly what each site needs to reach peak performance. We'll take you inside the journey: where the spark began, how teams pushed through complexity to find signal in the noise, and the moment explainable AI began revealing actionable growth opportunities hiding in plain sight. See how predictive modeling, fast iteration and a shared obsession with customer outcomes translated into stronger relationships, measurable revenue gains and a new blueprint for AI-driven value creation.",,,,Machine Learning,Breakout Session,Monday June 1,01:30 PM - 02:15 PM,45,"Room 211 (Moscone South, Level 2)",Intermediate,"AI,ML,Performance",Data Scientist;Executive,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=ML225&tab.sessioncatalogtab=1714168666431001NNiH
BI231,How Fanatics Manages dbt Metrics with Cortex Code for Natural Language Analytics,"In this session, Christine Kwon, Senior Director of Data at Fanatics, and Brett Pendleton, Manager of Analytics Engineering at Fanatics, share how they used dbt to define and govern Fanatics’ metric source of truth using scalable, metadata-driven models (YAML-based definitions, testing and documentation). They will walk through how those curated models power Snowflake semantic views and Snowflake Intelligence, enabling business users to ask trusted, governed questions in natural language.",Brett Pendleton; Christine Kwon,Fanatics,Analytics Engineering Manager,BI & Analytics,Breakout Session,Monday June 1,01:30 PM - 02:15 PM,45,"Room 159 (Moscone South, Upper Mezzanine)",Intermediate,"ML,Cortex,dbt,Analytics,Semantic,Intelligence,Natural Language",Data Engineer;Data Scientist;Developer;Analyst;Executive;Security,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=BI231&tab.sessioncatalogtab=1714168666431001NNiH
AI208,How LendingTree Marketers Built a Snowflake Agent for Smarter SEM Decisions,"Marketing teams waste hours digging through campaign data to find actionable insights. See how LendingTree, with the help of BlueCloud, transformed its search engine marketing with an AI agent that instantly surfaces performance trends, identifies optimization opportunities and recommends high-impact actions — cutting analysis time dramatically. A LendingTree marketer will demonstrate how the team built an intelligent assistant connecting Google Ads performance with customer data, enabling faster, data-driven decisions without waiting on analysts. Learn how this AI-powered approach is driving measurable campaign ROI improvements and freeing marketers to focus on strategy rather than spreadsheets.",Usman Mohammad; Thomas Ralls,Lending Tree,Senior Staff Engineer,AI & ML,Breakout Session,Monday June 1,01:30 PM - 02:15 PM,45,"Room 213 (Moscone South, Level 2)",Intermediate,"AI,Performance,Optimization,Search",Developer;Analyst;Executive,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=AI208&tab.sessioncatalogtab=1714168666431001NNiH
GO103,Modernizing Data Security: How Ally Financial Scaled Native Classification,"Discover how Ally Financial modernized data security by migrating from third-party solutions to Snowflake Horizon Catalog's native data classification capabilities. In this session, we’ll share our journey to scaling classification across the enterprise, enhancing data protection and compliance. Learn about the challenges faced, key implementation strategies and measurable improvements in security management. Gain practical insights to help your organization streamline and strengthen data security using Snowflake’s native tools.",Joshua Kornmayer; Jes Jackson,Ally Financial,Data Engineer,Governance & Security,Theater Session,Monday June 1,01:30 PM - 01:50 PM,20,"Basecamp South Theater 1 (Basecamp, South Hall A)",Beginner,"AI,ML,Security,Classification",Data Scientist;Architect;Analyst;Executive;Security,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=GO103&tab.sessioncatalogtab=1714168666431001NNiH
AI308,Self-Healing Semantic Layers with Snowflake Cortex AI: How Sigma Built J.A.K.E.,"Sigma's data platform team built J.A.K.E., a production-grade agent powered by Cortex AI that integrates directly into Slack and Sigma, letting teams interact with Snowflake in their everyday work environment. This session showcases a self-healing reference architecture that actively maintains dbt metadata and dimensional business matrices. By converting modeling frameworks into machine-executable logic, J.A.K.E. automatically generates Snowflake semantic views, eliminating weeks of manual effort. Attendees will see live AgenticOps examples: using Cortex AI to capture query failures, debug root causes in real time and automatically patch semantic definitions to create a continuous learning loop.",Matt Senick; Tejas Patel,,,AI & ML,Breakout Session,Monday June 1,01:30 PM - 02:15 PM,45,"Room 209 (Moscone South, Level 2)",Advanced,"AI,Cortex,dbt,Semantic",Data Engineer;Data Scientist;Architect;Executive,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=AI308&tab.sessioncatalogtab=1714168666431001NNiH
BI233,The Art of Data Relationship Chemistry for Global Financial Services,"Global financial services firms operate where regulation, capital and trust collide. For private equity and their investors, unlocking tax value depends on understanding relationships across entities, partners, deals and jurisdictions — yet the data is often trapped in spreadsheets. In this session, we explore how a PE-backed global firm is rebuilding its tax data foundation on Snowflake, turning fragmented records into a connected, insight-driven platform that unlocks transparency, allows risk analysis to drive decisions and cuts review hours in half.",Michael Tran; Claire Callahan,EY,EY Senior Manager,BI & Analytics,Theater Session,Monday June 1,01:30 PM - 01:50 PM,20,"Vertical Village Theater 1 (Basecamp, South Hall A)",Intermediate,"RAG,Financial Services",Architect;Developer;Analyst;Executive;Security,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=BI233&tab.sessioncatalogtab=1714168666431001NNiH
DE219,"Zero-Copy, Bidirectional Integrations: SAP, Salesforce, Workday and Beyond","Traditional integrations require costly data replication and create operational lag. In this session, we will demonstrate how Snowflake Zero-Copy, Bidirectional Integration can archive near real-time connectivity between Snowflake and enterprise applications without data movement. We will showcase implementations with Salesforce, Workday and more to explore how we maintain data consistency across systems.",Chandra Nayak; Sanjay Nagamangalam,Snowflake,Principal Partner Solution Engineer,Data Engineering,Breakout Session,Monday June 1,01:30 PM - 02:15 PM,45,"Room 206 (Moscone South, Level 2)",Intermediate,"AI,Cost,Real-time,Salesforce,SAP",Developer;Executive,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=DE219&tab.sessioncatalogtab=1714168666431001NNiH
PO101,AI-Powered FinOps Transformation at Ally Financial,"Ally Financial revolutionized its financial operations (FinOps) strategy by integrating advanced AI capabilities through Snowflake Intelligence and Cortex Analyst. This session details how the company moved beyond traditional cost management to implement a proactive, AI-driven optimization framework within the Snowflake platform. We will showcase specific use cases and methodologies where Snowflake Cortex AI Analyst provided actionable insights, leading to improved resource utilization and significant cost savings. Attendees will learn how to leverage these native Snowflake AI features to modernize their own FinOps practices and drive better business outcomes.",Loren Roberson,Ally Financial,Data Engineer,Platform & Optimization,Theater Session,Monday June 1,02:00 PM - 02:20 PM,20,"Basecamp South Theater 3 (Basecamp, South Hall C)",Beginner,"AI,Cortex,NiFi,RAG,Cost,Optimization,Intelligence",Data Engineer;Data Scientist;Architect;Analyst;Executive,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=PO101&tab.sessioncatalogtab=1714168666431001NNiH
MI201,AI-Powered Modernization: Oregon's Multnomah County Leverages SnowConvert AI,"Public sector organizations are under pressure to modernize legacy systems, control costs and deliver better services for their communities. Multnomah County — home to Portland, Oregon — faced these same challenges as it sought to move away from expensive, aging SQL Server infrastructure. Together with Snowflake, the county leveraged SnowConvert AI to accelerate code conversion and migration, transforming its data operations onto the Snowflake Data Cloud. Join us to hear how this partnership reduced costs, improved scalability and positioned the county to deliver smarter, data-driven services to citizens through Snowflake Intelligence.",Michael Hanna; Federico Zoufaly Boldrini,Multnomah County,Database Administrator Senior,Migration,Breakout Session,Monday June 1,02:00 PM - 02:45 PM,45,"Room 205 (Moscone South, Level 2)",Intermediate,"AI,SQL,RAG,Migration,SnowConvert,Modernization,Cost,Intelligence",Architect;Developer;Analyst;Executive,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=MI201&tab.sessioncatalogtab=1714168666431001NNiH
AI105,Building a Trusted AI Data Foundation with Salesforce and Snowflake,"Discover how the strategic partnership between Salesforce and Snowflake creates a unified architecture to unlock the full potential of the agentic enterprise. Attendees will learn how current integrations across Tableau, Data 360 and Agentforce enable humans and agents to drive success together.",Martin Ko; Conor Knowles,Salesforce,Strategic Partnerships Senior Lead,AI & ML,Theater Session,Monday June 1,02:00 PM - 02:20 PM,20,"Vertical Village Theater 2 (Basecamp, South Hall B)",Beginner,"AI,NiFi,Agents,Salesforce",Data Engineer;Architect;Developer;Executive;Security,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=AI105&tab.sessioncatalogtab=1714168666431001NNiH
BI215,Deploying Geospatial Solutions via Natural Language with Cortex Code,"This session demonstrates how to transform natural language requests into deployment-ready geospatial applications using Cortex Code. You will learn how to parameterize solution templates and extend logic to support organization-specific KPIs. Discover how Snowflake enables businesses to optimize delivery routes, increase fleet utilization, and reduce both idle time and operational costs. Attendees will gain practical knowledge on using Cortex Code to deploy and customize geospatial solutions within the Snowflake native stack. All session materials, including code and templates, will be made publicly available for immediate use.",Becky O'Connor; Piotr Paczewski,Snowflake,Principal Architect,BI & Analytics,Theater Session,Monday June 1,02:00 PM - 02:20 PM,20,"Builders Hub Theater (Basecamp, South Hall D)",Intermediate,"AI,Cortex,Cost,Natural Language,Geospatial",Developer;Analyst;Executive,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=BI215&tab.sessioncatalogtab=1714168666431001NNiH
DM112,ExxonMobil's Enterprise Data Transformation with Marketplace Capacity Drawdown,"Discover how ExxonMobil transformed its data landscape from 7,000 fragmented data products scattered across 20 legacy platforms into a single, enterprisewide central data hub. Learn how it leveraged the Snowflake Marketplace Capacity Drawdown (MCD) program to consolidate 350 governed data products powering more than 250 use cases while providing flexible payment options across multiple lines of business. This session covers practical strategies for large-scale data modernization, including managing complex budget structures across business units, derisking multiyear platform investments and using MCD to accelerate partner tool adoption.",Dylan Hines; Wayne Frawner,ExxonMobil,Data Warehousing System Architect,Data Marketplace,Breakout Session,Monday June 1,02:00 PM - 02:45 PM,45,"Room 216 (Moscone South, Level 2)",Beginner,"RAG,Marketplace,Modernization",Architect;Executive;Security,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=DM112&tab.sessioncatalogtab=1714168666431001NNiH
BI303,"Indeed’s Playbook: Auto-Scaling APIs, Lower TCO and Fast Queries on Snowflake","Employer analytics is hard, with low-latency, high-concurrency customer APIs plus compute-heavy batch refreshes of aggregates — without an infrastructure empire. This talk shares how Indeed's Employer Analytics group moved from self-managed Vertica to Snowflake Virtual Warehouses for all data access. Warehouses let our APIs auto-scale with traffic, delete years of ops scaffolding, free engineers for product work and cut TCO with lower compute costs (projected ~$2M/year savings). We'll also cover Interactive tables and Interactive warehouses, improving p95 latency ~30% and laying a foundation for next-gen agentic analytics.",Mike Cohen; Sainath Rachaputi,Indeed,Technical Fellow,BI & Analytics,Breakout Session,Monday June 1,02:00 PM - 02:45 PM,45,"Room 151 (Moscone South, Upper Mezzanine)",Advanced,"Analytics,Warehouse,Cost",Architect;Developer;Analyst;Executive,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=BI303&tab.sessioncatalogtab=1714168666431001NNiH
DE210,Messy Pipelines Are Expensive: A Hygiene Framework for Cutting Snowflake Waste,"dbt’s dependency graphs make building and scaling data pipelines easier than ever, but hidden inefficiencies can quietly drive up costs. Redundant pipelines, oversized warehouses, forgotten workloads and slow queries can add up to serious Snowflake waste. 

In this session, you will learn a practical hygiene framework to identify and fix inefficiencies across your pipelines. We’ll also show you how autonomous agents can make this a continuous process, turning cleanup from a one-time chore into an ongoing advantage.",Mike Scherer,Keebo,Director of Engineering,Data Engineering,Theater Session,Monday June 1,02:00 PM - 02:20 PM,20,"Basecamp South Theater 4 (Basecamp, South Hall C)",Intermediate,"dbt,Agents,Pipeline,ETL,Warehouse,Cost",Data Engineer;Developer;Executive,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=DE210&tab.sessioncatalogtab=1714168666431001NNiH
GO208,Regional Data Moves at Scale: Solving Data Locality Without Breaking Analytics,"As global SaaS platforms scale, data locality and regional compliance become continuous operational requirements. Customer data must move across regions safely and predictably, while analytics pipelines remain consistent and trustworthy. In this session, we share how Zendesk designed a Snowflake-native approach for cross-regional account moves by aligning operational cutovers with explicit UTC day boundaries. By introducing a preemptive data-processing lock coordinated with upstream cutover guarantees, downstream layers process only fully closed days. The result is a predictable, low-maintenance pattern for regional data moves at scale.",Shahid Faiz,Zendesk,Principal Data Engineer,Governance & Security,Breakout Session,Monday June 1,02:00 PM - 02:45 PM,45,"Room 212 (Moscone South, Level 2)",Intermediate,"AI,Pipeline,Native App,Analytics",Data Engineer;Data Scientist;Architect;Developer;Analyst;Security,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=GO208&tab.sessioncatalogtab=1714168666431001NNiH
GO102,"Scaling AI with Cyera, Snowflake and Your Company's Ecosystem","Enterprises are investing heavily in AI, but many initiatives stall before production — not due to models or compute, but because of fragmented data, poor visibility, and weak access controls that undermine trust and compliance.

Snowflake accelerates AI by centralizing data and enabling scalable access, but this speed increases risk as sensitive data proliferates across environments.

Cyera addresses this gap as an AI-native data security control plane, providing full visibility, automated classification, risk prioritization and policy enforcement across Snowflake ecosystems — enabling organizations to scale AI with trusted, governed and secure data.",Amir Kafri; Gal Pollak,Cyera,Software Architect,Governance & Security,Theater Session,Monday June 1,02:00 PM - 02:20 PM,20,"Basecamp South Theater 2 (Basecamp, South Hall A)",Beginner,"AI,RAG,Security,Classification",Data Scientist;Security,https://reg.snowflake.com/flow/snowflake/summit26/sessions/page/catalog?search=GO102&tab.sessioncatalogtab=1714168666431001NNiH
